Year,DoY,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2008,282,947.5986352,1581.856258,2083.233848,1018.032501,1868.809961,2312.92232,1064.843711,1568.380468,2956.754802
2008,283,889.1569727,1458.300996,1919.633391,858.1798352,1698.496294,2136.024068,1071.520831,1550.131887,2837.683483
2008,284,836.3221249,1334.26009,1784.434468,840.3756956,1614.916494,1972.216034,957.0172012,1431.9116,2630.39283
2008,285,860.2665988,1258.045831,1617.351093,790.811193,1521.84362,1740.070109,1033.133019,1474.094096,2402.665413
2008,286,1293.013111,1728.512733,1718.871296,1440.649163,2132.774926,1863.820083,1222.833547,1811.977099,2440.034899
2008,287,1200.438013,1802.36378,1867.385186,1345.464187,2212.47922,1975.615356,1130.446551,1775.465312,2479.911035
2008,288,1099.64859,1766.108058,1880.32328,1176.443003,2106.20253,1942.835698,1094.348366,1597.624965,2445.933058
2008,289,1058.132045,1749.992804,1908.729507,1075.61371,2027.375368,1951.5475,1078.386719,1538.128842,2488.374822
2008,290,1010.991184,1720.785963,1901.708382,1076.496666,1961.21868,1907.938395,1015.211351,1469.773364,2465.600448
2008,291,1010.656391,1754.41539,1974.31489,1084.904946,2002.044356,2014.928907,959.6242178,1460.55889,2489.109946
2008,292,981.5172623,1713.270726,1963.778105,1008.867862,1898.956254,1999.202965,957.3860887,1453.18239,2515.258471
2008,293,935.910954,1664.564528,1935.394124,965.5846607,1832.257901,1974.808032,884.281758,1396.061414,2474.8469
2008,294,937.5493956,1619.11876,1842.46693,849.1991549,1740.113512,1868.21251,966.0810122,1568.492862,2438.976646
2008,295,1079.756583,1612.519096,1771.398086,946.5767442,1753.544776,1771.722274,1095.7885,1626.968013,2324.198047
2008,296,1049.007097,1548.88696,1651.93491,959.8541727,1713.310839,1633.798395,926.2293225,1433.428046,2060.078871
2008,297,945.8078741,1436.46615,1544.796908,892.0157909,1603.922223,1478.136313,904.7289162,1292.097094,1871.000171
2008,298,908.0209814,1410.499141,1557.587217,858.5757443,1569.524274,1484.823405,932.6688652,1242.140213,1904.920431
2008,299,880.9907538,1463.130755,1616.968727,890.0262993,1611.795285,1530.759526,859.0733289,1191.601362,1958.908689
2008,300,896.3720831,1459.34308,1647.110192,834.4914776,1596.586933,1599.340807,885.4083892,1233.714386,1996.877669
2008,301,859.7458488,1295.378702,1454.83603,738.376985,1373.555604,1351.656255,1201.420351,1383.483937,1925.810235
2008,302,830.4697707,1301.460188,1493.490244,755.1888718,1384.543582,1366.377311,869.0503051,1204.184358,1961.994155
2008,303,810.7772786,1307.558988,1518.146873,730.6437926,1355.474128,1384.735271,883.2377426,1221.958666,1997.706373
2008,304,798.2844791,1335.147423,1553.019525,743.6234267,1390.900252,1444.871659,819.2621905,1179.830604,2033.523575
2008,305,784.3998184,1280.532993,1506.162894,703.0501023,1312.435263,1382.839432,836.3582399,1172.276439,1979.925305
2008,306,754.0196041,1264.742576,1496.398263,681.7709805,1283.063535,1366.662888,809.7661013,1154.547969,1993.539508
2008,307,740.8679402,1227.477632,1459.834999,662.7569753,1241.742588,1318.630347,877.6408731,1186.255667,1972.135711
2008,308,709.6960798,1217.07648,1461.063923,664.3401452,1244.383999,1334.032751,767.7464466,1108.173754,1969.295641
2008,309,713.2450612,1156.226632,1373.302429,637.9549257,1191.832075,1255.003844,732.7888157,1043.094523,1847.35719
2008,310,730.4551643,1158.861839,1321.235676,690.077647,1278.176188,1247.309453,629.4706183,906.8036304,1652.333963
2008,311,752.815559,1224.996916,1269.680205,691.3103062,1368.779587,1178.109153,558.8319924,742.5106667,1352.652271
2008,312,698.4423728,1113.298774,1215.557132,641.843961,1278.185398,1102.310511,598.9569386,757.3036184,1251.291529
2008,313,678.9130811,1028.545444,1207.695278,604.5815258,1155.17237,1091.976627,671.3925826,848.6566225,1343.276442
2008,314,678.8109106,977.1196114,1157.706169,588.5473929,1076.727065,1014.434502,724.2302529,888.6990186,1387.587743
2008,315,663.0136406,963.8529112,1140.96326,593.158959,1068.536124,994.5753164,696.8386336,886.8467773,1424.963824
2008,316,673.0054098,966.4817136,1124.542453,616.0823618,1106.055619,992.4335976,643.4340857,840.1132576,1399.004747
2008,317,642.9812221,925.2756765,1080.374214,597.9390258,1067.075548,940.6683538,606.7417567,791.6145401,1333.76068
2008,318,634.4641868,991.9678238,1154.618624,617.3510593,1150.128598,1013.534567,570.8351837,765.2363654,1352.307448
2008,319,719.1456174,953.1112937,1077.182443,633.5913265,1153.713386,961.8939884,801.5628816,909.5440235,1332.458109
2008,320,721.2106119,890.0262482,978.4228917,686.6034345,1193.16203,840.9503898,865.6596648,918.8720864,1257.197557
2008,321,758.0202933,986.646282,1058.932842,822.2909047,1452.2385,1000.610497,683.217046,826.2650685,1276.512276
2008,322,788.6039977,1053.848977,1130.523453,823.4627126,1505.894635,1095.719087,682.5928104,840.7582916,1327.303785
2008,323,755.4818852,1055.066648,1150.880818,791.3936569,1475.000029,1117.695517,674.511671,843.2793798,1361.310947
2008,324,753.4545684,1071.913322,1181.169589,766.8203954,1474.920431,1154.710163,624.5216921,827.6219443,1400.817302
